Country,ExchangeRateAtPPP,Exports,HouseholdExpenditures,Imports,ImprovedSanitation,ImprovedWater,Population,Population15To64,PopulationGrowth,TotalInvestment,Unemployment,Urban,AgeDependencyRatioOld,CellphoneSubscriptions,GovernmentRevenues,GovernmentSpending,HealthExpenditure,IndustrialProduction,InternetUsers
UAE,0.000377,0.111260,0.021802,0.076979,0.972527,0.994143,0.006629,0.971894,0.271170,0.349575,0.288733,0.826782,0.000000,0.713360,0.018373,0.010529,0.028485,0.039101,0.916667
Uganda,0.080549,0.001040,0.003443,0.002193,0.273626,0.631040,0.027051,0.049645,0.445290,0.395467,0.288733,0.053948,0.110667,0.165136,0.001547,0.001565,0.000010,0.050915,0.168750
UK,0.000032,0.211996,0.122882,0.251503,1.000000,1.000000,0.047092,0.463094,0.187441,0.168461,0.237933,0.772046,0.660505,0.536940,0.174967,0.162906,0.579506,0.108767,0.935833
Ukraine,0.000296,0.030260,0.029558,0.030887,0.937363,0.970717,0.033393,0.609141,0.105614,0.241926,0.235554,0.651763,0.521359,0.568303,0.028610,0.025411,0.014871,0.009969,0.435417
Uruguay,0.001484,0.003996,0.003556,0.004237,0.960440,0.992679,0.002484,0.439716,0.160799,0.311804,0.193746,0.917108,0.538346,0.639351,0.003621,0.003130,0.007883,0.002599,0.605208
USA,0.000056,1.000000,1.000000,1.000000,1.000000,0.988287,0.232489,0.504334,0.196004,0.265156,0.229436,0.804257,0.512116,0.385833,1.000000,1.000000,1.000000,0.761998,0.844063
Uzbekistan,0.076764,0.037409,0.005712,0.029448,1.000000,0.814056,0.022216,0.520883,0.274976,0.478565,0.288733,0.282464,0.146390,0.294791,0.007699,0.005984,0.000023,0.050915,0.397917
Vanuatu,0.004439,0.000026,0.000000,0.000091,0.537363,0.863836,0.000191,0.307591,0.336822,0.381681,0.288733,0.157788,0.154134,0.230565,0.000051,0.000041,0.000310,0.050915,0.117708
Venezuela,0.000397,0.040238,0.025113,0.013270,0.900000,0.896047,0.022025,0.472551,0.269267,0.345231,0.292658,0.929046,0.223832,0.411919,0.018135,0.024265,0.012566,0.050297,0.571875
Vietnam,0.735500,0.050454,0.024389,0.041515,0.725275,0.926794,0.065905,0.615445,0.227402,0.399056,0.129844,0.230544,0.220085,0.537541,0.015387,0.015623,0.000001,0.009440,0.457292
Yemen,0.010042,0.003110,0.006925,0.004099,0.486813,0.339678,0.019585,0.253743,0.346337,0.049669,0.288733,0.244397,0.113665,0.272053,0.002942,0.003062,0.000096,0.050915,0.208333
Zambia,0.000333,0.003965,0.001884,0.002610,0.371429,0.462665,0.010678,0.091148,0.435775,0.378470,0.288733,0.319856,0.116663,0.418529,0.001063,0.001187,0.002653,0.050915,0.160417
Zimbabwe,0.000075,0.001546,0.027314,0.002799,0.339560,0.705710,0.009634,0.246388,0.417697,0.161473,0.288733,0.314225,0.157882,0.389351,0.000619,0.000499,0.005020,0.050915,0.192708
